,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-2572804053.568972,-2354676989.654048,-2014295852.1161494,-2249879810.711748,-2114173935.463824,-2172326882.368412
1.5,-2557683938.8328533,-2316145039.1974187,-2240756788.650078,-2292416408.846765,-2107046135.1285615,-2922404136.8699594
1.45,-2493313438.467796,-2505616768.5902286,-2340900626.6618176,-2226263755.5624094,-2321614078.0165977,-2752263516.7437253
1.4,-2451474878.789456,-2309179530.3145595,-2188156204.546919,-2051529308.7501328,-2292558701.2006316,-2620699090.6445684
1.35,-2374410293.052172,-2143208419.1828632,-1991509643.5791802,-2045081457.6960773,-2131679812.9058373,-2444010882.0581794
1.3,-2387959392.2933955,-2201942492.340083,-2054280235.345539,-2092953585.1046956,-1949113310.4147432,-2571036430.7291355
1.25,-2302232995.3775134,-1980670289.0384066,-1843343406.664036,-2014493591.5778804,-1885330766.877358,-2385834944.6491656
1.2,-2144128345.86685,-1865299169.0501125,-1743125414.3166115,-1831615781.6894417,-1702446460.777,-2199482724.968753
1.15,-2095102529.6743903,-1961532944.3860855,-1831251968.7665925,-1762647327.9353912,-1862337824.680928,-2323955106.7924085
1.1,-1880049447.0902548,-1761604915.228352,-1637998505.477202,-1582077783.033319,-1691454179.8028302,-2141529849.0851705
1.05,-1703622231.1594741,-1588147579.635937,-1472217487.9023025,-1631353025.734161,-1521637573.134477,-1964999392.4692955
1.0,-2048944263.9631128,-1933309511.271734,-1825886213.6259756,-1783980533.7048616,-1679489626.4670668,-2371862799.920411
