,1.85,1.8,1.75,1.7,1.65,1.6,1.55,1.5,1.45,1.4,1.35,1.3,1.25,1.2,1.15,1.1,1.05,1
1.55,-303044749.2,-331886776.4,-165883931.2,-584650554,-418217886.4,-259127360.4,-1311257269,-1146561515,-1096689681,-932078033.4,-760978092.2,-706706384,-851497552.5,-683821669.9,-1260096932,-1097090324,-1182194188,-1049089087
1.5,-415958220.6,-450352947.9,-291556619.1,-957976165.4,-807520885.7,-1094739299,-1146561515,-1185557205,-1021726237,-880474410.1,-716994690.7,-935482108.4,-1432964419,-1280166658,-1134613740,-977159832.3,-1067816396,-1059680826
1.45,-423417528.6,-818325672.6,-723461084.6,-969883386.4,-1131908209,-1035202167,-1096689681,-1021726237,-1714129184,-1585528614,-1450519213,-1302951948,-1404282129,-1339758615,-1276547116,-1124645908,-963617606,-1073166628
1.4,-230486107.6,-684592184.1,-534021267.7,-788298235.8,-953573792,-862420450.4,-932078033.4,-880474410.1,-1585528614,-1460512425,-1318033687,-1175554948,-1309114209,-1303276856,-1148835015,-1002486506,-850689418.7,-965791140.5
1.35,-27103726.79,-486762503.4,-341744287.1,-600540194.3,-771368450.6,-685767809.1,-760978092.2,-716994690.7,-1450519213,-1318033687,-1183227876,-1034116160,-1319934956,-1170012054,-1022673554,-881877746.3,-735633358.6,-939112775.2
1.3,-100103594.2,-606339928.4,-466874412.2,-732499550.1,-588129348.3,-625943400.8,-706706384,-935482108.4,-1302951948,-1175554948,-1034116160,-1404314874,-1259944672,-1115574470,-973788670.4,-834161947,-809369180.6,-873982649.3
1.25,5165886.931,-506623147.4,-372710331.2,-733346371.7,-598621922.7,-466850399.4,-851497552.5,-1432964419,-1404282129,-1309114209,-1319934956,-1259944672,-1192655611,-1053838109,-977319325.4,-838501823.7,-703362836.1,-774873948.8
1.2,133765797.9,-385966234.3,-257606118.2,-549012388.9,-419840640,-293621816.7,-683821669.9,-1280166658,-1339758615,-1303276856,-1170012054,-1115574470,-1053838109,-985779203.7,-852514402.1,-719249600.4,-589663312.9,-709195101.1
1.15,265030072.7,-334021109.3,-209987521.9,-568333338.6,-546990973.1,-474880273.6,-1260096932,-1134613740,-1276547116,-1148835015,-1022673554,-973788670.4,-977319325.4,-852514402.1,-893608131.4,-765896029.9,-638183928.3,-690001487.7
1.1,463544689.1,-141059193,-22578305.6,-386476822.4,-377262580.1,-306320965.3,-1097090324,-977159832.3,-1124645908,-1002486506,-881877746.3,-834161947,-838501823.7,-719249600.4,-765896029.9,-1005176447,-883017045.3,-1009204787
1.05,-162791806.3,-48575402.63,64352784.66,-305098432.2,-197701992,-134330493.1,-1182194188,-1067816396,-963617606,-850689418.7,-735633358.6,-809369180.6,-703362836.1,-589663312.9,-638183928.3,-883017045.3,-1859086987,-1748816507
1,-106020505.3,2643198.239,110018685.5,-517082725.9,-415238985.8,-307519819.3,-1049089087,-1059680826,-1073166628,-965791140.5,-939112775.2,-873982649.3,-774873948.8,-709195101.1,-690001487.7,-1009204787,-1748816507,-1686250589
