,1.85,1.84,1.83,1.82,1.81,1.8
1.15,265030072.71440515,290572493.0292718,-408258072.4211287,-385105949.9197496,-359563529.6048824,-334021109.29001623
1.14,306120053.22092974,331440365.5330589,-367612307.92007846,-344682293.42143816,-319361981.1093105,-294041668.7971816
1.13,347210033.72745484,372308238.0368451,-326966543.4190305,-304258636.9231268,-279160432.61373717,-254062228.3043459
1.1199999999999999,388300014.23397905,413176110.5406328,-286320778.9179819,-263834980.42481786,-238958884.11816248,-214082787.81151143
1.1099999999999999,424646516.33467185,449300504.6385869,-250418492.82276762,-228154802.3323402,-203500814.02842286,-178846825.72450966
1.0999999999999999,463544689.1167123,487976569.4178885,-211964536.04620206,-189922953.5585125,-165491073.25733584,-141059192.95615858
1.0899999999999999,504634669.62323725,528844441.9216757,-171318771.54515177,-149499297.06020176,-125289524.7617621,-101079752.46332365
1.0799999999999998,545724650.1297616,569712314.4254638,-130673007.04410312,-109075640.56189042,-85087976.26618886,-61100311.97048813
1.0699999999999998,499721316.66461563,523486872.95757854,-197440654.68303323,-176065396.20355737,-152299839.91059488,-128534283.61763138
1.0599999999999998,-203881786.76243478,-180338338.47220838,-156794890.18198335,-135641739.70524722,-112098291.41502142,-88554843.12479568
1.0499999999999998,-162791806.25590956,-139470465.9684227,-116149125.68093538,-95218083.20693624,-71896742.9194479,-48575402.63196206
