,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6,1.55,1.5,1.4500000000000002,1.4000000000000001,1.35,1.3,1.25,1.2000000000000002,1.15,1.1,1.05,1.0
1.55,-3031414498.8380218,-3272279702.075093,-2914668430.5431004,-3426441283.881874,-3253279489.889886,-3529141641.8767114,-3324294315.4281616,-3224501888.854028,-3384271989.0525694,-2921813686.24344,-2780381062.417002,-3185229126.8763585,-3094511475.2148924,-3079704253.945446,-2925957727.0265613,-2786578222.776546,-2860185478.2186747,-2908847625.5415516
1.5,-2721438807.2529907,-2821593163.548677,-2706914820.119772,-3282699459.5960946,-3121794478.3473425,-2833146617.91383,-3224501888.854028,-3077852835.610792,-3041826987.786226,-3019884980.426198,-2741714004.1272726,-3217509430.8683615,-2809555596.063744,-2750566011.56287,-2759081473.465587,-2841285540.7112412,-2446999272.1514835,-2755984699.675206
1.45,-2541467409.5778975,-2948105342.4718604,-3036196457.9000783,-3100322434.9169226,-2944061212.5355177,-2737385858.0828857,-3384271989.052569,-3041826987.786226,-2912132389.0466123,-2992954037.030236,-2675626390.1735864,-2926365808.4965663,-2776915601.716981,-2791678564.4664164,-2625490906.4132867,-2648608310.278082,-2550817478.6414475,-2511532742.0604763
1.4,-2832677439.5351777,-3029471974.864215,-2717298891.698035,-3292120417.8424993,-3133300237.4287033,-2833058372.8988733,-2921813686.2434397,-3019884980.4261975,-2992954037.030236,-3068760460.73226,-2989051272.9823737,-2842254013.536468,-2709188150.6729984,-2563883875.34675,-2751098765.0523014,-2744895414.565087,-2373812967.5281734,-2547019901.0594482
1.35,-2604861468.813924,-2671565101.604884,-2517213560.040498,-3028718012.052132,-2842780618.390841,-2656918822.0435896,-2780381062.417002,-2741714004.1272726,-2675626390.1735873,-2989051272.9823737,-2847524856.727814,-2708740132.0520363,-2588675256.185007,-2501745309.6373076,-2611613828.349182,-2398114881.843361,-2378246140.477536,-2425571782.788114
1.3,-2716085723.0090575,-2637025249.499297,-2456133136.829496,-2927132964.2151914,-2772187760.2763777,-3024294156.015969,-3185229126.8763585,-3217509430.8683615,-2926365808.4965663,-2842254013.536469,-2708740132.0520363,-2682968957.302181,-2786943612.9695897,-2628349396.3322816,-2480129181.8313723,-2306503941.9934287,-2290715265.444995,-2443289444.5748444
1.25,-2490004745.5240207,-2431223194.080115,-2258602682.5255117,-2723913870.005149,-2574928096.987058,-2875579691.9688125,-3094511475.2148924,-2809555596.063744,-2776915601.716981,-2709188150.672999,-2588675256.185007,-2786943612.9695897,-2492869028.1684356,-2343883255.150345,-2195122582.2325497,-1968884840.6393278,-2171191451.580923,-2327569454.0688143
1.2,-2266840217.4179053,-2322736487.0028095,-2122289285.067736,-2602328752.9666576,-2459302410.869291,-2743192313.208663,-3079704253.9454455,-2750566011.5628686,-2791678564.4664164,-2563883875.34675,-2501745309.6373067,-2628349396.332281,-2343883255.150344,-2191061580.2082996,-2042175331.0648122,-2181238085.188024,-1949903849.448728,-2116370081.0109293
1.15,-2169551250.8915243,-2247868747.2104545,-1746384796.417319,-2414742643.0670385,-2277675731.890395,-2696920957.351288,-2925957727.0265613,-2759081473.465587,-2625490906.4132876,-2751098765.052302,-2611613828.349182,-2480129181.8313723,-2195122582.2325497,-2042175331.0648122,-2593041813.48782,-2456816613.7719107,-2298887814.228025,-2068535355.9487462
1.1,-2367328795.0452766,-2039448161.6086955,-1876357925.5243614,-1951051289.192153,-1823353524.8129323,-2675372331.799554,-2786578222.776546,-2841285540.7112412,-2648608310.278083,-2744895414.5650873,-2398114881.843361,-2306503941.9934287,-1968884840.6393278,-2181238085.1880245,-2456816613.7719107,-2399481361.874818,-2265100409.5167465,-1874268716.966938
1.05,-1968249944.221183,-1843883346.3756554,-1726163205.5988286,-1897941545.5610466,-1775978423.9577737,-2758404518.862556,-2860185478.2186747,-2446999272.1514835,-2550817478.6414475,-2373812967.5281734,-2378246140.477536,-2290715265.444995,-2171191451.580923,-1949903849.448729,-2298887814.228025,-2265100409.5167465,-2851610240.348879,-2881079443.7959514
1.0,-2171159956.4308524,-2049008692.0580714,-2124314931.8916218,-2008159577.9837427,-1888087568.0076368,-2633106116.0334187,-2908847625.5415516,-2755984699.675206,-2511532742.0604763,-2547019901.0594482,-2425571782.788114,-2443289444.5748444,-2327569454.0688143,-2116370081.0109293,-2068535355.9487462,-1874268716.966938,-2881079443.7959514,-2820444205.3093214
