,1.85,1.84,1.83,1.82,1.81
1.55,-536259990.81280494,-501824188.5175165,-769423240.7346903,-734987438.4394004,-700551636.1440308
1.54,-818824543.3120463,-786665800.2553493,-1070915527.1860372,-1036701891.357291,-1002488255.5283756
1.53,-779778639.7963636,-745787170.4339234,-1030259063.8309898,-996267594.4685127,-962276125.1060548
1.52,-1125157164.7694676,-1094254135.000394,-1255028876.2114172,-1224125846.4423912,-1193222816.6732328
1.51,-1087544924.5898385,-1056845204.227204,-1217823254.844664,-1187123534.481935,-1156423814.1191375
