,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6,1.55,1.5,1.4500000000000002,1.4000000000000001,1.35,1.3,1.25,1.2000000000000002,1.15,1.1,1.05
1.55,1954493203.1423376,2022578001.8224852,124742029.68401322,12109242.127453033,96714837.72211914,205829197.38383752,-793969478.9421412,-223538185.40246025,-3611942.739372026,-49931887.98037832,-321416181.8469081,-434189583.1385654,-395273158.40270907,-378867513.04490924,-103444421.92432418,-264253564.5213785,480935618.12385434
1.5,1107068342.5107613,706049549.063812,458608259.1602161,160121995.08143464,327663873.30330145,159151540.4083928,-223538185.40246025,-401276465.3131195,-274516330.69990474,-128908875.59997712,-416372930.6796665,-271836107.02403533,-436921836.10397255,-230660160.76027876,-103204684.03380686,-312815357.78206915,-641930795.8928636
1.45,1205371228.3694496,590683215.197278,325775633.601328,310658928.95402116,458066597.4034017,320507515.93555224,-3611942.7393715642,-274516330.69990444,-446415113.8794923,-237124372.61492553,-640127484.516088,-501447682.71333927,-186377803.28336492,-168221377.47354844,-30316069.42298071,-354592772.361459,-582107654.8847367
1.4,964836482.850772,636456740.5093077,321626479.99207556,326891557.1725728,440698786.21450853,-122946875.45428233,-49931887.98037765,-128908875.59997669,-237124372.61492553,-677989062.1177977,-544091322.446177,-410193582.7745574,-297316180.0713906,-572345929.8116133,-440025351.0351084,-333599313.52719474,-673332798.350065
1.35,800289505.6758487,94737428.5067547,157590196.73928264,-85201358.3276491,51036851.573605366,95261951.07807718,-321416181.8469081,-416372930.6796665,-640127484.5160887,-544091322.4461776,-938538104.3298475,-795941993.1306579,-661000479.2027942,-510212788.8031148,-383476939.3006714,-694961150.3204781,-699038462.2642195
1.3,819430293.2487258,201252150.88205776,162691703.9171273,50136535.55140189,188567585.48942763,236798417.5909608,-434189583.1385654,-271836107.02403533,-501447682.7133394,-410193582.7745583,-795941993.1306579,-803987327.904158,-593239922.7687649,-448036961.643148,-326885841.4147665,-648311974.1581995,-677627579.9796386
1.25,953740597.2381654,264850151.31298012,283436180.9026375,37136142.73983155,133961754.77503416,415639812.8976855,-395273158.40270907,-436921836.10397255,-186377803.28336498,-297316180.0713908,-661000479.2027942,-593239922.7687649,-613313396.7915359,-486365694.1372071,-379302067.0699823,-693540683.6906261,-601399231.278186
1.2,728954518.367747,444626163.9676768,224539885.75029087,-38104464.11749268,46196119.01087863,-129345014.51510988,-378867513.04490846,-230660160.76027808,-168221377.47354844,-572345929.8116133,-510212788.80311435,-448036961.64314765,-486365694.1372071,-724350662.2392035,-614369000.558947,-480335497.98145384,-654189581.0880787
1.15,867490226.1240165,590636814.49989,333369734.54601204,74817097.6855996,188018570.35357156,67408455.9731586,-103444421.92432418,-103204684.03380686,-30316069.422981143,-440025351.0351085,-383476939.3006714,-326885841.4147665,-379302067.0699823,-614369000.5589471,-683905713.5248474,-555456940.2214161,-731792922.5198777
1.1,811624803.8270562,77314790.1506907,131792530.7937347,117984617.52443641,-93866437.33704703,-15849703.74379581,-264253564.5213785,-312815357.78206915,-354592772.36146,-333599313.527195,-694961150.3204781,-648311974.1581995,-693540683.6906261,-480335497.98145455,-555456940.2214161,-980315139.3942714,-868433233.0694891
1.05,48938052.67891474,110571664.90176904,14878772.41309889,-135448201.83537075,-76339631.78309391,-143176832.50027463,480935618.12385434,-641930795.8928636,-582107654.8847368,-673332798.3500652,-699038462.2642195,-677627579.9796386,-601399231.278186,-654189581.088079,-731792922.5198777,-868433233.0694891,-694377726.1225799
