,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-699126370.5664499,-787857811.1490695,-872066453.5573022,-977711549.9406762,-814497437.4205463,-801102558.0219114
1.5,-1170266610.1323144,-1206939444.3138986,-1112900258.2920132,-1316483022.9899688,-1169960055.9525988,-1620601552.834364
1.45,-1160542250.9572442,-1240871633.9117424,-1151324598.2794259,-1321805296.0063438,-1476542840.5142677,-1581313170.6832685
1.4,-999037177.7891576,-1116891828.511723,-984142569.1180183,-1155483164.488939,-1307805773.880243,-1410900695.0334988
1.35,-810760006.3145211,-936253742.6123238,-794377047.4351882,-983889719.7780212,-1136289918.1490629,-1233920531.9983742
1.3,-895341453.726945,-1041904639.9003755,-906382161.7992073,-1100663230.9509377,-957259401.7388101,-1196840662.4063885
1.25,-783841894.070136,-935966387.185994,-806005216.0272524,-1084181372.1677532,-948766074.9875864,-1028049112.9366679
1.2,-657142450.7988081,-817856214.8089523,-693456350.5926125,-901814970.0883045,-771960979.850595,-856805324.742104
1.15,-566333828.2958336,-777917404.6211226,-658775324.6743135,-929579629.9763875,-909407902.8530241,-1056243589.9201669
1.1,-365602297.5486534,-582747180.8163791,-469166407.8119952,-747317246.9927977,-734536978.6904639,-884920437.2538173
1.05,-605175608.1448979,-491416126.30586153,-383396660.24388635,-667108806.3671315,-554492587.2150686,-712351805.1511593
1.0,-1035093549.9950275,-926137972.2396086,-818827047.3547528,-893359775.1316587,-786899938.5674958,-1015314022.4480132
