,1.85,1.84,1.83,1.82,1.81
1.55,-2572804053.568972,-2537005892.567163,-2535399372.96423,-2501000524.684986,-2466601676.405741
1.54,-2922626679.441166,-3260428957.445849,-2631509606.4956355,-2597036906.342524,-2562564206.18941
1.53,-3253489647.674768,-3219240796.2239494,-2590545293.976027,-2556296442.525209,-2522047591.0743885
1.52,-2803406521.3792863,-2770823190.6913576,-2661677943.6734595,-2630971083.5142794,-2600264223.3551006
1.51,-2763749178.1077943,-2731380211.4375496,-2624708500.192342,-2594203658.849999,-2563698817.507658
