,1.85,1.84,1.83
1.55,-544310960.8629669,-509914551.3047991,-758188940.2331975
1.5,-1090208465.5847063,-1059701089.659226,-1199010313.9861655
1.45,-1072884616.7135942,-1040707330.3528154,-1249495648.069723
