,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,0.244,0.14600000000000002,0.08599999999999997,0.030000000000000027,0.09399999999999997,0.10999999999999999
1.5,0.020000000000000018,0.014000000000000012,0.018000000000000016,0.006000000000000005,0.014000000000000012,0.0020000000000000018
1.45,0.03400000000000003,0.0020000000000000018,0.006000000000000005,0.0040000000000000036,0.0,0.0
1.4,0.05800000000000005,0.006000000000000005,0.04200000000000004,0.010000000000000009,0.0,0.0
1.35,0.14400000000000002,0.052000000000000046,0.08799999999999997,0.028000000000000025,0.008000000000000007,0.0020000000000000018
1.3,0.09399999999999997,0.018000000000000016,0.04800000000000004,0.010000000000000009,0.02200000000000002,0.008000000000000007
1.25,0.14,0.02400000000000002,0.05600000000000005,0.006000000000000005,0.018000000000000016,0.018000000000000016
1.2,0.18400000000000005,0.06000000000000005,0.09599999999999997,0.020000000000000018,0.04600000000000004,0.04800000000000004
1.15,0.27,0.06599999999999995,0.10999999999999999,0.020000000000000018,0.018000000000000016,0.010000000000000009
1.1,0.374,0.16200000000000003,0.24,0.040000000000000036,0.05400000000000005,0.03400000000000003
1.05,0.14400000000000002,0.21799999999999997,0.29600000000000004,0.06999999999999995,0.128,0.08999999999999997
1.0,0.008000000000000007,0.018000000000000016,0.03600000000000003,0.028000000000000025,0.05600000000000005,0.03200000000000003
