,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6,1.55,1.5,1.4500000000000002,1.4000000000000001
1.55,1824915629.8724265,530957430.2446066,448932873.2797241,283734061.6742603,112648240.48484203,-232470750.36165133,-333482581.3061926,-372811235.6703319,-438303438.5261843,-265856615.87010866
1.5,844411873.969639,448553893.10043246,344188110.14581376,203885539.63940835,-27433657.465233974,-261088294.63677976,-372811235.6703319,-585023766.9822339,-607186821.1377214,-445345389.5734387
1.45,401834869.94038206,95984181.69049412,31905761.86734476,50017712.643341124,-284414906.08435786,-318555969.70310193,-438303438.52618337,-607186821.1377206,-1054815689.3127396,-896223853.9498872
1.4,607658496.9815056,291257326.8642984,213907773.28431392,225561319.67473632,-108550814.99259551,-140546346.31618518,-265856615.87010735,-445345389.573438,-896223853.9498872,-763590432.5643208
1.35,560835258.3682739,206828581.2831854,280938504.6453773,212038964.15584782,-68887425.58883204,-245795501.2229936,-320906091.91276807,-439645255.1290405,-784718338.2761971,-646083167.2099433
1.3,683460216.3785937,323890738.5626623,312163276.57644784,237748236.12840164,38419551.91735602,-174683519.78976607,-255356911.210381,-393525319.99596226,-684346452.2137451,-550845917.1129098
1.25,549477499.7485658,100721390.98200539,56277908.70817844,125617754.18815121,-325859298.3034395,-271804480.3077259,-440192819.26614666,-681533567.9508151,-986883718.8491842,-860190482.1085271
1.2,729786015.4874545,300982217.2922859,233168718.0294936,299336312.98475957,-163440519.53130135,-101503189.94680431,-281046060.8870707,-638291189.8844615,-833270830.6807851,-727557060.7229611
1.15,693578995.658883,225960825.4874914,353905242.29683846,339233227.15884167,-194118632.81760326,-140536893.79323596,-317233128.74488604,-596987152.7834152,-804774555.0270345,-689206919.7480595
1.1,871178538.1156194,405861176.9668177,441679948.43088394,387821923.60309577,-10546208.699845871,-39390148.01900219,-247650031.2884514,-585014357.6586732,-701791030.5938187,-579409414.5153129
