,1.85
1.15,-432117085.1090946
1.14,-391063305.9589952
1.13,-350009526.8088961
1.1199999999999999,-312032236.70788985
1.1099999999999999,-270978457.5578049
1.0999999999999999,-229924678.40772876
1.0899999999999999,-191821944.34238228
1.0799999999999998,-154260810.82409525
1.0699999999999998,-202170652.41393113
1.0599999999999998,-486992362.86285365
1.0499999999999998,-445938583.71279335
