,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-303044749.1561686,-331886776.36316913,-165883931.150253,-584650554.0140868,-418217886.36851585,-259127360.3563303
1.5,-415958220.61288166,-450352947.8883312,-291556619.0874149,-957976165.4433756,-807520885.6662848,-1094739298.952461
1.45,-423417528.5724652,-818325672.5858458,-723461084.587786,-969883386.3745376,-1131908208.7085104,-1035202167.069803
1.4,-230486107.5637748,-684592184.108641,-534021267.71926934,-788298235.7902024,-953573791.9768938,-862420450.4066355
1.35,-27103726.794122268,-486762503.40743583,-341744287.0865154,-600540194.3444116,-771368450.5995523,-685767809.0977424
1.3,-100103594.17432314,-606339928.4211513,-466874412.168679,-732499550.1204078,-588129348.3407255,-625943400.8459648
1.25,5165886.930513114,-506623147.38476384,-372710331.2007414,-733346371.6721884,-598621922.7128297,-466850399.35755575
1.2,133765797.87617168,-385966234.3210426,-257606118.20546928,-549012388.9213706,-419840640.0304601,-293621816.74363613
1.15,265030072.71440515,-334021109.29001623,-209987521.8610897,-568333338.6215693,-546990973.0965856,-474880273.6432237
1.1,463544689.1167115,-141059192.9561593,-22578305.59568198,-386476822.4246111,-377262580.1415275,-306320965.30764693
1.05,-162791806.25590986,-48575402.63196245,64352784.66006555,-305098432.2373126,-197701992.02810743,-134330493.08207944
1.0,-106020505.31682485,2643198.2386733405,110018685.46225175,-517082725.93476707,-415238985.79401135,-307519819.2718182
