,1.8,1.79,1.78,1.77,1.76,1.75
1.1,828634450.564807,852277058.2491696,875919665.9335328,899562273.6178956,923204881.3022596,946847488.9866215
1.09,867322354.0483099,890750028.9355422,914177703.8227751,937605378.7100072,954097643.8016592,977525318.6888918
1.08,906010257.531813,929222999.621915,945500331.9164364,968713074.0065379,991925816.0966401,1015138558.186742
1.07,697689611.7829188,712336892.910846,735087907.0974066,757836149.1144373,780584391.1314683,803332633.1484996
1.06,727856721.5766712,750395135.3705485,772930776.9948974,795466418.6192456,818002060.2435943,840537701.8679429
1.05,766127564.429056,788450605.6607221,810773646.8923877,833096688.1240542,855419729.3557202,873234265.7868903
