,1.85,1.84,1.83
1.55,4553872451.227135,4590277890.386729,4016542428.753696
1.5,2814068452.961423,2849068661.0148435,2793086255.7640862
1.45,2999324462.0061345,3033157996.457772,3027559938.2634187
