,1.82,1.81,1.8
1.1,-524749331.70645714,-500338976.5361656,-476958383.2485549
1.05,-415739836.761147,-392439043.1894846,-370168011.50050336
1.0,-920248560.1356918,-898057328.1626898,-875866096.1896371
