,1.82,1.81,1.8
1.1,-1780198885.428299,-1753790231.0974443,-1727381576.7665887
1.05,-1534604955.8612182,-1511619761.3237283,-1488634566.7862403
1.0,-1943317046.7976048,-1920202327.4495559,-1897087608.1015074
