,1.85,1.84,1.83,1.82,1.81
1.15,0.28,0.29400000000000004,0.049000000000000044,0.05800000000000005,0.06399999999999995
1.14,0.30000000000000004,0.31100000000000005,0.06000000000000005,0.06999999999999995,0.07499999999999996
1.13,0.31599999999999995,0.32899999999999996,0.07299999999999995,0.08099999999999996,0.09199999999999997
1.1199999999999999,0.33899999999999997,0.351,0.08699999999999997,0.09699999999999998,0.10699999999999998
1.1099999999999999,0.357,0.361,0.10599999999999998,0.12,0.134
1.0999999999999999,0.376,0.393,0.128,0.14300000000000002,0.15600000000000003
1.0899999999999999,0.4,0.41200000000000003,0.15000000000000002,0.16900000000000004,0.18500000000000005
1.0799999999999998,0.42900000000000005,0.44299999999999995,0.17900000000000005,0.19499999999999995,0.20999999999999996
1.0699999999999998,0.385,0.396,0.133,0.14500000000000002,0.15800000000000003
1.0599999999999998,0.129,0.14200000000000002,0.15400000000000003,0.16800000000000004,0.18200000000000005
1.0499999999999998,0.14700000000000002,0.16200000000000003,0.17300000000000004,0.19299999999999995,0.20599999999999996
