,1.85,1.84,1.83
1.55,-3287314162.75133,-3249631811.6491027,-3452591708.0296416
1.5,-3236264081.3517637,-3204240885.6732216,-3353381817.4656844
1.45,-3053419224.1305065,-3022463468.3079133,-3104909603.208273
