,1.85,1.84,1.83,1.82,1.81
1.15,1295119154.2071142,1321818557.0395863,489818843.8223785,515508722.0157583,541198600.2091385
1.14,1338070367.4593515,1364537601.5715399,530699258.68662643,556165746.6348463,581632234.5830663
1.13,1381021580.7115877,1407256646.103495,571579673.5508741,596822771.253934,620223357.7256044
1.1199999999999999,1423972793.9638238,1449975690.6354482,610617577.1837314,635637284.6416318,660656992.099533
1.1099999999999999,1466924007.2160616,1474383111.793657,651497992.0479796,676294309.2607192,701090626.4734607
1.0999999999999999,1491563597.0945516,1517102156.3256106,692378406.9122272,710182154.8829864,734755081.8505667
1.0899999999999999,1534514810.346788,1556171196.8802147,726489642.7796532,750839179.5020744,775188716.2244949
1.0799999999999998,1573816019.6216743,1598890241.4121687,767370057.6439013,791496204.1211619,815622350.5984231
1.0699999999999998,1629806760.3728158,1654648813.4430277,774338801.8004572,799566650.1711109,824794498.5417647
1.0599999999999998,767501347.5691584,792493421.6559746,817485495.7427902,842477569.8296057,864903717.0934073
1.0499999999999998,811119590.0791677,835875889.8821454,858066262.8621094,882822562.665087,907578862.4680654
