,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6,1.55,1.5,1.4500000000000002,1.4000000000000001
1.55,906221338.5880673,378618781.58610153,283387195.39157486,-460772761.82103246,-524823685.60169023,-813131730.7630994,-825010641.7646033,-734157489.049729,-855545776.1253636,-741548089.845669
1.5,464407777.29021055,274707744.796135,325834725.735173,-607955812.1540457,-698193082.6020384,-716899654.8442838,-734157489.049729,-1077908884.4295282,-931031845.1465135,-829684825.9723161
1.45,-237940856.89374655,-404243518.91293204,-447655840.6285316,-617910550.7479329,-679065450.4244858,-832909018.7159736,-855545776.1253626,-931031845.146513,-1429871781.1717849,-1293274792.299339
1.4,-84721531.13807294,-257640226.89576003,-325483499.09957445,-514038144.0147529,-582562563.0587748,-688482311.3398603,-741548089.8456683,-829684825.9723154,-1293274792.299339,-1270345501.170562
1.35,-108130988.2898642,-282305734.2733094,-256451708.3078833,-480014601.7168965,-554120035.8979691,-688200678.6603897,-702853551.6922051,-766963565.9234381,-1228955487.9117384,-1140319873.7183797
1.3,-261013287.50184754,-451415283.2737526,-348847800.0181967,-611238685.8179811,-688008885.5251864,-752051673.1427019,-772083469.3784603,-904677138.0446995,-1268862463.622871,-1184668782.4962776
1.25,-197774548.46526664,-385614466.76819324,-346967487.42924017,-577677180.1323088,-656969618.2262166,-692431607.8803844,-725801353.145994,-949709571.8769056,-1226440006.7613895,-1147625248.8387396
1.2,-46399488.72263202,-256674050.94941515,-256797077.17783836,-486774467.59938186,-573881325.2602882,-590470399.764049,-632215117.344388,-860068524.8533084,-1113992288.8784552,-1073947536.5231826
1.15,-245385458.7836046,-496376838.3582115,-378585482.20633817,-656048742.6716278,-804792857.7763139,-767665017.3926333,-814184954.0717916,-1072650084.7629226,-1257152835.9850183,-1174207246.038915
1.1,-82155226.36463746,-340821411.05442953,-241665621.69135448,-550599321.9118013,-701848644.2600733,-664182958.576575,-709589819.6978877,-999552818.7461234,-1162210108.5326383,-1066076882.7588111
